religion,social_group,sector,gender,marital_status,day_of_week,principal_activity_status,activity_type,n_total_persons,n_participants,participation_rate,total_minutes,mean_minutes_per_participant,mean_minutes_per_person
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as casual wage labour: in other types of work,Unpaid domestic services for household members,126,35,.27777779,5010,143.1428571428571,39.761906
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as casual wage labour: in other types of work,"Socializing and communication, community participation and religious practice",126,121,.96031743,22530,186.198347107438,178.80952
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as casual wage labour: in other types of work,"Culture, leisure, mass-media and sports practices",126,117,.9285714,20190,172.5641025641026,160.2381
Hinduism,scheduled tribe,Rural,male,never married,Saturday,worked as casual wage labour: in other types of work,Self-care and maintenance,126,126,1,96240,763.8095238095239,763.80951
Hinduism,scheduled tribe,Rural,male,never married,Saturday,did not work but was seeking and/or available for work,"Socializing and communication, community participation and religious practice",31,28,.90322578,8130,290.3571428571428,262.25806
Hinduism,scheduled tribe,Rural,male,never married,Saturday,did not work but was seeking and/or available for work,"Culture, leisure, mass-media and sports practices",31,31,1,11460,369.6774193548387,369.67743
Hinduism,scheduled tribe,Rural,male,never married,Saturday,did not work but was seeking and/or available for work,Self-care and maintenance,31,31,1,25410,819.6774193548387,819.67743
Hinduism,scheduled tribe,Rural,male,never married,Saturday,attended educational institution,Employment and related activities,474,10,.021097047,3300,330,6.9620252
Hinduism,scheduled tribe,Rural,male,never married,Saturday,attended educational institution,Production of goods for own final use,474,28,.059071731,3120,111.4285714285714,6.5822783
Hinduism,scheduled tribe,Rural,male,never married,Saturday,attended educational institution,Unpaid domestic services for household members,474,52,.10970464,3930,75.57692307692308,8.2911396
Hinduism,scheduled tribe,Rural,male,never married,Saturday,attended educational institution,Unpaid caregiving services for household members,474,22,.046413504,2010,91.36363636363636,4.2405062
Hinduism,scheduled tribe,Rural,male,never married,Saturday,attended educational institution,Learning,474,390,.82278478,166530,427,351.3291
Hinduism,scheduled tribe,Rural,male,never married,Saturday,attended educational institution,"Socializing and communication, community participation and religious practice",474,382,.80590719,58530,153.2198952879581,123.48101
Hinduism,scheduled tribe,Rural,male,never married,Saturday,attended educational institution,"Culture, leisure, mass-media and sports practices",474,471,.99367088,120930,256.7515923566879,255.12659
Hinduism,scheduled tribe,Rural,male,never married,Saturday,attended educational institution,Self-care and maintenance,474,474,1,382200,806.3291139240506,806.3291
Hinduism,scheduled tribe,Rural,male,never married,Saturday,not able to work due to disability,"Culture, leisure, mass-media and sports practices",11,10,.90909094,3840,384,349.09091
Hinduism,scheduled tribe,Rural,male,never married,Saturday,not able to work due to disability,Self-care and maintenance,11,11,1,11040,1003.636363636364,1003.6364
Hinduism,scheduled tribe,Rural,male,never married,Sunday,worked in household enterprise (self-employed): own account worker,Employment and related activities,39,36,.92307693,15780,438.3333333333333,404.61539
Hinduism,scheduled tribe,Rural,male,never married,Sunday,worked in household enterprise (self-employed): own account worker,Production of goods for own final use,39,12,.30769232,1350,112.5,34.615383
